"character","asylum_total_2007","asylum_applicants_2007","asylum_spouses_2007","asylum_children_2007"
"   Total","12,463","8,987","1,481","1,995"
"Under 1 year","D","-","-","D"
"1 to 4 years","220","D","-","D"
"5 to 9 years","492","D","-","D"
"10 to 14 years","534","13","-","521"
"15 to 19 years","774","D","D","553"
"20 to 24 years","1,452","1,183","88","181"
"25 to 29 years","1,792","1,557","209","26"
"30 to 34 years","1,813","1,516","D","D"
"35 to 39 years","1,704","1,417","287","-"
"40 to 44 years","1,459","1,228","231","-"
"45 to 49 years","1,009","835","174","-"
"50 to 54 years","607","509","98","-"
"55 to 59 years","301","248","53","-"
"60 to 64 years","146","130","16","-"
"65 to 74 years","124","99","25","-"
"75 years and over","33","D","D","-"
