Characteristic,asylum_total_2010,asylum_applicants_2010,asylum_spouses_2010,asylum_children_2010
Total,"11,244","8,730","1,147","1,367"
Male,"5,870","4,705",486,679
Female,"5,374","4,025",661,688
Under 1 year,D,-,-,D
1 to 4 years,217,D,-,D
5 to 9 years,394,D,-,D
10 to 14 years,396,36,-,360
15 to 19 years,772,457,D,D
20 to 24 years,"2,035","1,836",127,72
25 to 29 years,"2,139","1,896",227,16
30 to 34 years,"1,604","1,344",D,D
35 to 39 years,"1,259","1,080",179,-
40 to 44 years,971,830,141,-
45 to 49 years,671,572,99,-
50 to 54 years,378,324,54,-
55 to 59 years,187,161,26,-
60 to 64 years,107,87,20,-
65 to 74 years,84,71,13,-
75 years and over,D,D,D,-
Under 16 years,"1,163",89,-,"1,074"
16 to 20 years,927,674,10,243
21 years and over,"9,154","7,967","1,137",50
Single,"5,625","4,258",-,"1,367"
Married   ,"4,992","3,846","1,146",-
Widowed   ,160,160,-,-
Divorced/separated,463,463,-,-
Unknown   ,4,3,1,-
